Video ID,User ID,Comment,Comment_Length,Word_Count,VADER_Score,VADER_Sentiment,TextBlob_Score,TextBlob_Sentiment,BERT_Sentiment,BERT_Score
Dave_Rubin,UCIWYR3l8aemSFIz1234SlZQ,"I don’t know what you all are smoking to say that it was a normal gesture. I don’t need to watch CNN, MSNBC or anything else. I saw this clip 10 second clip online and I immediately knew that he was doing a nazi salute. There is no “my heart to yours” gesture or any other nonsense you are trying to justify this with. It was the same exact gesture used in Nazi Germany. Done twice.",382,76,Negative,-0.5994,Positive,0.05500000000000001,NEGATIVE,0.9913557171821594
Candace_Owens,UCEbBs_OfDX-mAnqbT56vR9w,Takk!,5,1,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9907234311103821
Dave_Rubin,UCqIxuGiDmVm9AzJRXESO-mA,The cringe,10,2,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9996392726898193
Candace_Owens,UCBn6FtCzOBk2eWeLTXORUVA,Damn.. ADL propaganda worked on Candace,39,6,Negative,-0.25,Negative,-0.1,NEGATIVE,0.9975445866584778
Candace_Owens,UCk1sQW7cl_GH8ypQ2-m2JVw,The Bellamy Salute is the original Salute to the U.S. American flag. <br><br>The Not Seas adopted it as a nod to the U.S. Capital Establishment who backed them.,160,28,Positive,0.34,Positive,0.1875,POSITIVE,0.9851306080818176
Ben_Shapiro,UC0F6vbAfJeWcnSJz5f-QOxQ,"Ben, Elon LITERALLY believes in eugenics. He thinks rich and smart people need to have more babies to stop the rise of the idiot masses. He&#39;s got a whole club of rich people that believe this. Why don&#39;t you mention him having like a dozen kids and naming some after Transformers or fighter jets? Because you wanna suck on that media sack too.",350,63,Positive,0.6527,Positive,0.14404761904761906,NEGATIVE,0.9793131947517395
Ben_Shapiro,UC9CceYOTRzzV8SGxqZLdc-Q,bens under the weather when I&#39;m under the weather I use thermaflu use promo code woke sickness to get 10 percent off,120,22,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9976152181625366
Dave_Rubin,UCNqPE8EzPGnDO4xWljt5QHw,CNN is cowards for not showing or talking about the Nazi Salute,63,12,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9997115731239319
Dave_Rubin,UCmPZ-Hx7toJQdHhUI6kfK1Q,"What a heartfelt thank you from Elon, made even more delightful by the abundance of liberal tears.",98,17,Positive,0.8479,Positive,0.5,POSITIVE,0.9998664855957031
Candace_Owens,UClapkHaIrzGFtXdDEzfsK2A,"Since Elon was exempted for his Hitler salute, the jews can not come out against Black people for anything thing they suspect as antisemitic, How racist and obvious is their attempt to control. Those of You who are in power are hypocrites.",239,42,Negative,-0.7351,Negative,-0.08333333333333333,POSITIVE,0.8482770323753357
Candace_Owens,UCZMeh36ARPGyZl39uDkCAhQ,"Nothing to see! He didn&#39;t mean anything by it, he was talking about flying",78,14,Neutral,0.0,Negative,-0.3125,NEGATIVE,0.9971826076507568
Candace_Owens,UCWYQSM6Swm5fBu4z4VEI2pw,Candace could you please look into the orthodox churches in Ukraine. You’re the only source I trust.,100,17,Positive,0.6808,Negative,-0.1,POSITIVE,0.9964174032211304
Ben_Shapiro,UCgIs8TUFsb8Redy0hfafhXQ,These people are mentally ill.,30,5,Negative,-0.4215,Negative,-0.5,NEGATIVE,0.9994024038314819
Ben_Shapiro,UCGCoF_r_jop0mwpYHRM5sJQ,Exactly !<br>There is a difference between <br>&#39;you THINK he did an SH salute&#39; versus &#39;he did an SH salute&#39;.<br>Think about how problematic this is...<br><br>Nowadays you are guilty if people ASSUME you did something.,233,33,Negative,-0.7177,Negative,-0.09375,NEGATIVE,0.9964942336082458
Ben_Shapiro,UCtpzbKCoBg_ijGNI-tV09ig,Maybe Ben is one too.,21,5,Neutral,0.0,Neutral,0.0,POSITIVE,0.9219274520874023
Candace_Owens,UCNVwn8VrQ81A27UsBmyrxFg,It doesn’t mean anything!!! He is happy about the outcome of election.,70,12,Positive,0.6784,Positive,0.09482421875000002,POSITIVE,0.988393247127533
Dave_Rubin,UCWlFRgOqEY4Eg6ktQd3sAlw,&quot;our viewers are smart&quot; did we need to say anything more about how deluded CNN is?,92,16,Neutral,0.0,Positive,0.5,NEGATIVE,0.9600656032562256
Candace_Owens,UCG7XznnvXISSYHjXLHobZNQ,I&#39;ve seen several archival photos of some of our favorite Democrats doing a far more impressive salute than Elon&#39;s.,123,19,Positive,0.7645,Positive,0.42000000000000004,POSITIVE,0.9991551637649536
Candace_Owens,UCsGsuSsiPmNVswIZEKwdhvw,"Trump supports Noahide, which will persecute Catholics, hypocrisy all over his admin supporting abortion, sodomy, ect. Masonic rituals all over the place. Making himself to the level of a god. All while supporting Rabbi Sheerson Chabad founder, Jewish sect founded in Russia. Pointing to Fr. Fahey&#39;s book on Rulers of Russia being Jewish. Thus all this Israel attention as a farce from the real power. May our Lady of Guadalupe Crush the Head of the Serpent, for the lies and contradictions are becoming more clear of mass subversion of the american and traditional catholics, which would stand against such evils. Praying for you Candace+ I hope your not being used in this mess. Cardinal Dolan quoting Solomon&#39;s wisdom said it all- Masonry the principle enemy of the Catholic Church. No mention of Christ or His Church, but the god of George Washington, which is Lucifier and the devils he is painted with in the apotheosis . PAX+",940,157,Negative,-0.6418,Positive,0.08392857142857144,NEGATIVE,0.9720020294189453
Candace_Owens,UCcgpGB0rm_oXquV85SN8LWw,"Two women at the start. Imagine been married to them. Poor husbands.  &quot;You left the toilet seat  up, and then put it down. It was quick, but I saw it &quot; 😂😂😂",165,32,Negative,-0.2617,Negative,-0.0009259259259259319,NEGATIVE,0.9959384202957153
