Video ID,User ID,Comment
48gTx8MpRmI,UCgDuFgJQ4a0TJ8HCDnW8i3w,He slapped his chest and extended his arm with all five fingers straight. Idk what else that’s supposed to look like chief.
48gTx8MpRmI,UCSkVAxUmDh8jqxK6MLeBhSA,Guess who&#39;s back !WP
48gTx8MpRmI,UCleLTG0Vm5s3jNcoZOdNGCQ,During ay speech
48gTx8MpRmI,UCLV3vjTw_kSdKOQZlDSHB2A,So? The bloody left is bloody EXTREME!!! 🤬🤬🤬🤬🤬🤬
48gTx8MpRmI,UC1ozNqKFTv4lPOOdU3rtBbg,Teslas are gonna fly off those lots!! 😂
48gTx8MpRmI,UCUlvbKYre-cqi1HJSsdtuIQ,That woman looks like Sarah Paulson
48gTx8MpRmI,UC90t2cz2xuP9ZDXIASRuERg,🫡
48gTx8MpRmI,UCoMeOCmGmC3c1eN-dXYO9PQ,Only a wacko job would pick on a man with Asberger
48gTx8MpRmI,UCLMnp7Gr_xl3AjNv5B_8Ssg,"When you look like a duck, walk like a duck, and talk like a duck, you are a duck."
48gTx8MpRmI,UCLMnp7Gr_xl3AjNv5B_8Ssg,The reincarnation!
48gTx8MpRmI,UCWoI_5837jm5WhI-IVAPJ3Q,Omgsh people find a problem with everything. No wonder his plan is to replace humans with robots 🙄🙄🙄🙄🙄
48gTx8MpRmI,UCR-8UToE_WYncT1ooRDJWXQ,He is saying my heart goes out to you. But of course the media talks over him.
48gTx8MpRmI,UCPGSai8pf-IQocMwsorUmQA,<b>BASED ELON MUSK</b>
48gTx8MpRmI,UCil83d7FcY0g90RfCqF7g5Q,Woah. 🫥<br>I had to look it up just to see what all the fuss was about. I was totally expecting for it to be an overreaction but boy they weren&#39;t kidding😅<br>Has the US just entered it&#39;s vilan origin era ?🫢<br>Lex Luther needs to stop.
48gTx8MpRmI,UCgJr4Y-1wk0dQxF3DSRNB4g,Yeah man
48gTx8MpRmI,UCUA6DqMTm5fvA_OwT65lfyw,"Balch Pledge<br><br>We give our heads and hearts to God and our country; one country, one language, one flag!"
48gTx8MpRmI,UCPZKqgOV5e2z4s5H6IeY3Rw,He is n4 $ 1
48gTx8MpRmI,UCIqz2k4czIkKQpJEq2mZc7w,How could u go to jail in germany for a salute thats crazy .
48gTx8MpRmI,UCPAFLmpLQt0c6Fk7bOkxglQ,"View, Killing of the mind. Mass Psychosis-How an entire population becomes mentally ill. And Cipolla&#39;s <br>The Basic Laws of Human Stupidity."
48gTx8MpRmI,UCPAFLmpLQt0c6Fk7bOkxglQ,He mimics the salute given by Germanys&#39; military during the 2nd World War. What&#39;s done behind closed doors is the concern.
48gTx8MpRmI,UCaXz-sbkpyNMMFcFGH7kB6w,If nobody ever complained abour Macron or Kamala´s vice doing exactly the same gesture then is because people are being manipulated by the media to hate the one they hate. How is it than other famous people have done exactly the same gesture and nobody ever complained? is teh gesture or the person? People go watch those videos and then come back and let me know why the media and you didn´t complain.
48gTx8MpRmI,UCmtef71jm9sL2wp2olPrj_A,"The media is really misleading people only listening on radio, pretending it is debatable"
48gTx8MpRmI,UC4sAeNTmTbabA4BUGPmsSUQ,"STOP TRYING TO BATTLE THE SALUTE. YOU DID THIS, MUSK, AND YOU WILL PAY HARSHLY"
48gTx8MpRmI,UC4sAeNTmTbabA4BUGPmsSUQ,"TRUMP IS GOING DOWN 😂😂😂,YOU TO MUSK"
48gTx8MpRmI,UCvlfXAB7FKFYkmXt0VSEZvg,"It is so obvious that Elon was simply making an I love you all sort of gesture touching his heart, and then throwing out his hand as an excited awkward wave, and then touching his heart again and signaling to the flag. He even says my heart goes out to you. I&#39;m not making fun of Elon Musk, but in one-to-one interviews, he is relaxed, a little bit anxious, has anyone might be, but maybe he becomes even more anxious in front of a larger crowd such as that, that was at the inauguration. Even I, who am an experienced AD&amp;D 2nd Edition DM, who has run many different campaigns, in front of many different groups and sizes of groups, would probably be quite nervous in front of thousands of people. And for someone like myself, who would be nervous in front of so many, just like me, his muscles probably just froze up a bit, they got a bit tense. And of course the media caught a picture of his face the way it looked, but it wasn&#39;t meant to be what they think it was or what they are portraying it as, but instead you can see his muscles tensing up, and he&#39;s sort of biting his lip, or his mouth is stretching a bit, in an anxious way. Someone else had mentioned, it was just an awkward gesture, due to this anxiety and these muscles freezing up. It happens to a lot of people. People really do jump to conclusions quite easily in this world. I think we just need to cut the guy some slack so what, he&#39;s opinionated, he&#39;s forward, he&#39;s blunt, he&#39;s open, I&#39;m the same way a lot of people don&#39;t like it. People don&#39;t like hearing the truth, especially  about themselves. But if people like myself, don&#39;t say something about it, who&#39;s going to? I don&#39;t think it&#39;s based on how much money the guy has, it&#39;s just based on not wanting to BS anyone, and be willing to speak up, when others won&#39;t. It&#39;s better to speak the truth and hurt someone&#39;s pride or ego, than to keep it in, and never say what&#39;s on one&#39;s mind, when they have a conviction to say it. God does not make mistakes, and he makes people as they are, for a reason. Perhaps his reason, is to speak out, and outwardly because others will not."
48gTx8MpRmI,UCzyVISNABxi2bxbNYogOTSw,Musk-like Trump and Biden- count on those with lower I.Q.s to put them in positions of power. And they didn&#39;t let them down.
48gTx8MpRmI,UCPhYONK83AHeRFLJkf1MUfA,"Chancellor Donald J. TRUMP approves of comrade Wernher Von Braun- I mean- Elon Musk!<br><br>24 hours later, Chancellor Trump pardons Proud Boys..."
48gTx8MpRmI,UCbBLFKyBbeGVHlPw-sPrRSQ,Wow
48gTx8MpRmI,UCYQpvmy4tGuLSNMQXUK6xqg,"Elon , why are you saluting like that?❤❤"
48gTx8MpRmI,UC6BusThVWfaDr6LLZaUt1Ng,Completely disgraceful
48gTx8MpRmI,UC4qeO4RsuyS08aWAOWhG5Hw,bit disappointing that DW can&#39;t call a Sieg heil a Sieg heil.
48gTx8MpRmI,UC22G3wzW7S3MNiWBMN760LQ,"What Elon Musk did Actually is a Roman salute to Caesar,notice the palm going outward"
48gTx8MpRmI,UC1ty0QrwGEaRfFcoYvVn8EA,He is Hitlon Musk!
