Video ID,User ID,Comment,Comment_Length,Word_Count,VADER_Score,VADER_Sentiment,TextBlob_Score,TextBlob_Sentiment
DW,UCgDuFgJQ4a0TJ8HCDnW8i3w,He slapped his chest and extended his arm with all five fingers straight. Idk what else that’s supposed to look like chief.,123,22,Positive,0.4588,Positive,0.2
DW,UCSkVAxUmDh8jqxK6MLeBhSA,Guess who&#39;s back !WP,24,4,Positive,0.4633,Neutral,0.0
DW,UCleLTG0Vm5s3jNcoZOdNGCQ,During ay speech,16,3,Neutral,0.0,Neutral,0.0
DW,UCLV3vjTw_kSdKOQZlDSHB2A,So? The bloody left is bloody EXTREME!!! 🤬🤬🤬🤬🤬🤬,47,8,Negative,-0.8038,Negative,-0.46103515625
DW,UC1ozNqKFTv4lPOOdU3rtBbg,Teslas are gonna fly off those lots!! 😂,39,8,Neutral,0.0,Positive,1.0
DW,UCUlvbKYre-cqi1HJSsdtuIQ,That woman looks like Sarah Paulson,35,6,Positive,0.3612,Neutral,0.0
DW,UC90t2cz2xuP9ZDXIASRuERg,🫡,1,1,Neutral,0.0,Neutral,0.0
DW,UCoMeOCmGmC3c1eN-dXYO9PQ,Only a wacko job would pick on a man with Asberger,50,11,Neutral,0.0,Neutral,0.0
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,"When you look like a duck, walk like a duck, and talk like a duck, you are a duck.",82,19,Positive,0.7579,Neutral,0.0
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,The reincarnation!,18,2,Neutral,0.0,Neutral,0.0
DW,UCWoI_5837jm5WhI-IVAPJ3Q,Omgsh people find a problem with everything. No wonder his plan is to replace humans with robots 🙄🙄🙄🙄🙄,102,18,Negative,-0.5994,Neutral,0.0
DW,UCR-8UToE_WYncT1ooRDJWXQ,He is saying my heart goes out to you. But of course the media talks over him.,78,17,Neutral,0.0,Neutral,0.0
DW,UCPGSai8pf-IQocMwsorUmQA,<b>BASED ELON MUSK</b>,22,3,Neutral,0.0,Neutral,0.0
DW,UCil83d7FcY0g90RfCqF7g5Q,Woah. 🫥<br>I had to look it up just to see what all the fuss was about. I was totally expecting for it to be an overreaction but boy they weren&#39;t kidding😅<br>Has the US just entered it&#39;s vilan origin era ?🫢<br>Lex Luther needs to stop.,243,44,Negative,-0.4854,Neutral,0.0
DW,UCgJr4Y-1wk0dQxF3DSRNB4g,Yeah man,8,2,Positive,0.296,Neutral,0.0
DW,UCUA6DqMTm5fvA_OwT65lfyw,"Balch Pledge<br><br>We give our heads and hearts to God and our country; one country, one language, one flag!",109,18,Positive,0.3382,Neutral,0.0
