Video ID,User ID,Comment
DW,UCgDuFgJQ4a0TJ8HCDnW8i3w,He slapped his chest and extended his arm with all five fingers straight. Idk what else that’s supposed to look like chief.
DW,UCSkVAxUmDh8jqxK6MLeBhSA,Guess who&#39;s back !WP
DW,UCleLTG0Vm5s3jNcoZOdNGCQ,During ay speech
DW,UCLV3vjTw_kSdKOQZlDSHB2A,So? The bloody left is bloody EXTREME!!! 🤬🤬🤬🤬🤬🤬
DW,UC1ozNqKFTv4lPOOdU3rtBbg,Teslas are gonna fly off those lots!! 😂
DW,UCUlvbKYre-cqi1HJSsdtuIQ,That woman looks like Sarah Paulson
DW,UC90t2cz2xuP9ZDXIASRuERg,🫡
DW,UCoMeOCmGmC3c1eN-dXYO9PQ,Only a wacko job would pick on a man with Asberger
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,"When you look like a duck, walk like a duck, and talk like a duck, you are a duck."
DW,UCLMnp7Gr_xl3AjNv5B_8Ssg,The reincarnation!
DW,UCWoI_5837jm5WhI-IVAPJ3Q,Omgsh people find a problem with everything. No wonder his plan is to replace humans with robots 🙄🙄🙄🙄🙄
DW,UCR-8UToE_WYncT1ooRDJWXQ,He is saying my heart goes out to you. But of course the media talks over him.
DW,UCPGSai8pf-IQocMwsorUmQA,<b>BASED ELON MUSK</b>
DW,UCil83d7FcY0g90RfCqF7g5Q,Woah. 🫥<br>I had to look it up just to see what all the fuss was about. I was totally expecting for it to be an overreaction but boy they weren&#39;t kidding😅<br>Has the US just entered it&#39;s vilan origin era ?🫢<br>Lex Luther needs to stop.
DW,UCgJr4Y-1wk0dQxF3DSRNB4g,Yeah man
DW,UCUA6DqMTm5fvA_OwT65lfyw,"Balch Pledge<br><br>We give our heads and hearts to God and our country; one country, one language, one flag!"
DW,UCPZKqgOV5e2z4s5H6IeY3Rw,He is n4 $ 1
DW,UCIqz2k4czIkKQpJEq2mZc7w,How could u go to jail in germany for a salute thats crazy .
DW,UCPAFLmpLQt0c6Fk7bOkxglQ,"View, Killing of the mind. Mass Psychosis-How an entire population becomes mentally ill. And Cipolla&#39;s <br>The Basic Laws of Human Stupidity."
DW,UCPAFLmpLQt0c6Fk7bOkxglQ,He mimics the salute given by Germanys&#39; military during the 2nd World War. What&#39;s done behind closed doors is the concern.
DW,UCaXz-sbkpyNMMFcFGH7kB6w,If nobody ever complained abour Macron or Kamala´s vice doing exactly the same gesture then is because people are being manipulated by the media to hate the one they hate. How is it than other famous people have done exactly the same gesture and nobody ever complained? is teh gesture or the person? People go watch those videos and then come back and let me know why the media and you didn´t complain.
DW,UCmtef71jm9sL2wp2olPrj_A,"The media is really misleading people only listening on radio, pretending it is debatable"
DW,UC4sAeNTmTbabA4BUGPmsSUQ,"STOP TRYING TO BATTLE THE SALUTE. YOU DID THIS, MUSK, AND YOU WILL PAY HARSHLY"
DW,UC4sAeNTmTbabA4BUGPmsSUQ,"TRUMP IS GOING DOWN 😂😂😂,YOU TO MUSK"
DW,UCvlfXAB7FKFYkmXt0VSEZvg,"It is so obvious that Elon was simply making an I love you all sort of gesture touching his heart, and then throwing out his hand as an excited awkward wave, and then touching his heart again and signaling to the flag. He even says my heart goes out to you. I&#39;m not making fun of Elon Musk, but in one-to-one interviews, he is relaxed, a little bit anxious, has anyone might be, but maybe he becomes even more anxious in front of a larger crowd such as that, that was at the inauguration. Even I, who am an experienced AD&amp;D 2nd Edition DM, who has run many different campaigns, in front of many different groups and sizes of groups, would probably be quite nervous in front of thousands of people. And for someone like myself, who would be nervous in front of so many, just like me, his muscles probably just froze up a bit, they got a bit tense. And of course the media caught a picture of his face the way it looked, but it wasn&#39;t meant to be what they think it was or what they are portraying it as, but instead you can see his muscles tensing up, and he&#39;s sort of biting his lip, or his mouth is stretching a bit, in an anxious way. Someone else had mentioned, it was just an awkward gesture, due to this anxiety and these muscles freezing up. It happens to a lot of people. People really do jump to conclusions quite easily in this world. I think we just need to cut the guy some slack so what, he&#39;s opinionated, he&#39;s forward, he&#39;s blunt, he&#39;s open, I&#39;m the same way a lot of people don&#39;t like it. People don&#39;t like hearing the truth, especially  about themselves. But if people like myself, don&#39;t say something about it, who&#39;s going to? I don&#39;t think it&#39;s based on how much money the guy has, it&#39;s just based on not wanting to BS anyone, and be willing to speak up, when others won&#39;t. It&#39;s better to speak the truth and hurt someone&#39;s pride or ego, than to keep it in, and never say what&#39;s on one&#39;s mind, when they have a conviction to say it. God does not make mistakes, and he makes people as they are, for a reason. Perhaps his reason, is to speak out, and outwardly because others will not."
DW,UCzyVISNABxi2bxbNYogOTSw,Musk-like Trump and Biden- count on those with lower I.Q.s to put them in positions of power. And they didn&#39;t let them down.
DW,UCPhYONK83AHeRFLJkf1MUfA,"Chancellor Donald J. TRUMP approves of comrade Wernher Von Braun- I mean- Elon Musk!<br><br>24 hours later, Chancellor Trump pardons Proud Boys..."
DW,UCbBLFKyBbeGVHlPw-sPrRSQ,Wow
DW,UCYQpvmy4tGuLSNMQXUK6xqg,"Elon , why are you saluting like that?❤❤"
DW,UC6BusThVWfaDr6LLZaUt1Ng,Completely disgraceful
DW,UC4qeO4RsuyS08aWAOWhG5Hw,bit disappointing that DW can&#39;t call a Sieg heil a Sieg heil.
DW,UC22G3wzW7S3MNiWBMN760LQ,"What Elon Musk did Actually is a Roman salute to Caesar,notice the palm going outward"
DW,UC1ty0QrwGEaRfFcoYvVn8EA,He is Hitlon Musk!
DW,UCaYys2CMKn8zoIAf8TQR13A,Did no one hear the song that was playing during the speech “heart goes out to you “ it was definitely a gesture for the song playing . Dude was stimming .
DW,UCbFlLPRIs3hBnD-1TuNQWCQ,Why would you ask did do it when you seen it boy y&#39;all stick up for y&#39;all people right 😅😂
DW,UCZqgtpxuIW7qDAtSTTU-DHQ,He certainly knows it looks like one. Why would he be so ignorant enough to use it?
DW,UCeUbzhWmg8cnRKPt9hk-7Lg,NONSENSE - that is nothing but a wave we all use when reaching towards crowds of people or people in the distance.  Nothing to do with &#39;resembling&#39; anything unless you want to cause him trouble.  It is extremely insulting to those of us who lived through real fascism and died in concentration camps to make such a fatuous comparison.
DW,UCUP4-WUPEybKoc7SZoAuzEg,"That was a salute to that crowd for voting for Trump. I could tell… and I voted for both Clintons, Obama, Biden and Harris. People are taking this too far. See it in full context people!!!! It’s no wonder people pray. Seems like common sense is going out of both parties.Gezzze!"
DW,UChZpVxyYhZie-XjS50MAQBQ,So what is German government going to do about this?
DW,UCiQjAm2v176dEBpBSUFzK4A,Why is there Quebec flag in the background? Is it a french canadian hotel?
DW,UC4iYekL3hoPYj3TK7ARmnAg,History always repeats itself. ALWAYS!!! I see 666 on their forehead.
DW,UC4iYekL3hoPYj3TK7ARmnAg,History always repeats itself. ALWAYS!!!
DW,UC4iYekL3hoPYj3TK7ARmnAg,WAIT!!!! WTF???😮😮😮😮😮
DW,UC3N1hQKlxyCPZzAFWqd8Jlw,Anti human DW.
DW,UCb7JSoJH_XKtiHCxHTAvMJw,Media nonsense.<br>You now deny the evidence before your eyes and ear even with effort and energy put into it twice. Bulshit! Bulshit!!
DW,UCZPbThyRq9SsShZJm0Sd8Pw,He’s just advertising for the new Model SS.  It’ll have a range of Germany to Poland.
DW,UCSi5sWMMzDmJchtdmOfapkg,Why is NOBODY picking up on the obvious?  That he is trolling the world and getting off on it?
DW,UCVbzolkRdJYMBVfv-Npnqkw,What a clown! Good luck anybody who partners with him 😅
DW,UC_mcOAu6SkrPJ2F0m6H8E2Q,Strange times
DW,UCO-Rx9GxWvlx9ZwNOJSJOHg,People need to look at the old videos of the salute. This looks only %20 of what that looked like. If I waved to a large crowd of people it could also be interpreted as such.
DW,UCZNTUfasvLz7ke-7wgntq6A,"He mentions fork in the road right before doing it. Aka things will change, aka pick a side. It is not that hard to understand. <br><br>All you people who are in denial of what this man did, look up &quot;gaslighting&quot;. I mean this in a sincere way, this is not about you or a side being wrong anymore. This is much deeper."
DW,UCpQF2RJAjAUvolWTRT1iA-g,People are reaching bad.
DW,UCP3f8XKf2O99R4mV11AWlYg,He did it twice there’s no way people are conflicted over this
DW,UCbCmwnptF1w32zZlpxWIc6A,roman salute chat
DW,UCPN3okniw1J5VBOoAL6n-sA,"He does it so sloppy, its weird. Almost like he had cognitive dissonance in the moment he executed the gesture."
DW,UCtSqiSp5u9795uuVgituqqA,He isn&#39;t holding onto a belt or something like that tho
DW,UCym0DXA03tRPWXtJhzuQLIA,"AOC, Harris, Obama, and Clinton also has arm out like that in photo&#39;s I have seen."
DW,UCv795oZOabf9jEz0SDMvuKw,Remember a movie..?<br>Susan Sarandon.....
DW,UCdIZUG_JMGR4SupWiTiYbfQ,This is what they voted for?
DW,UCpjojkvbHIucvTRk_85ZGaQ,My heart for you salute. Read your history people
DW,UCMQDB5rufIaEIPZiqCxTq4g,Musk is not making a political statement at all. It&#39;s a CHIlDISH and IDIOTIC statement to make him the centre of attention rather than Trump. He&#39;s planned it to stir up controversy amongst buffoons who will believe it. People call him a genius.. I don&#39;t know how much input he puts into the &#39;science&#39; of his businesses but I suspect not much He came from money and invested it well that&#39;s it. There&#39;s nothing more dangerous than a rich powerful guy who thinks he&#39;s so much more clever than he actually is.
DW,UCq4BfzkpEDBdWgeDr6AVqMg,😂😂😂😂
DW,UCFN5K-SWBANNIowq2oErRHA,"Try this on for size. Elon Musk was appointed to come in and help Trump clean the swamp while taking no money in return. He is a highly functioning, autistic man with a brilliant mind. The only person in group pushing this are the Democrats led by the Democratic Party, followed by the supporters. The Democrats lost the vote and the White House so this is the first thing they’re gonna steamroll to try to get Elon out so that he doesn’t take all of the earmarked dollars the politicians have set aside for their pockets."
